MouseID,Treatment,relab,Acetate,Butyrate,Formate,Lactate,Propionate,Pyruvate,Succinate,total_acids,acetate_ratio,propionate_ratio,butyrate_ratio,lactate_ratio,formate_ratio,pyruvate_ratio,succinate_ratio
LQ1,2FL,0.103333333,22.82419492,5.217390525,0.027567374,0.536768573,5.326599736,0.03525443,0.449560246,34.4173358,0.66,0.15,0.15,0.02,0,0,0.01
LQ2,2FL,0.118333333,21.74852011,6.425287483,0.033786138,0.312783009,3.50296071,0.046673634,0.297109027,32.36712011,0.67,0.11,0.2,0.01,0,0,0.01
LQ3,2FL,0.153,16.9394286,4.45966173,0.023979155,0.562126734,2.94159675,0.043808072,0.238408139,25.20900918,0.67,0.12,0.18,0.02,0,0,0.01
MB1,2FL,0.052,15.3331174,3.035309367,0.070186805,5.639239833,5.312061342,0.021056042,2.418205382,31.82917617,0.48,0.17,0.1,0.18,0,0,0.08
MB2,2FL,0.005666667,50.93944862,20.31148482,0.032459424,0.31148563,4.900124645,0.026841447,0.106117349,76.62796194,0.66,0.06,0.27,0,0,0,0
MB3,2FL,0.065666667,23.23385825,4.605584911,0.067481098,1.267015781,7.055265101,0.031413614,1.131471852,37.39209061,0.62,0.19,0.12,0.03,0,0,0.03
MB4,2FL,0.007666667,41.63542949,8.377547261,0.040849674,0.445982323,10.21337967,0.051903115,0.693963874,61.45905541,0.68,0.17,0.14,0.01,0,0,0.01
MB5,2FL,0.045666667,50.96539149,5.537340605,0.036429872,0.645618294,15.02833431,0.027322404,1.671726367,73.91216334,0.69,0.2,0.07,0.01,0,0,0.02
MB6,2FL,0.046666667,24.67234603,2.786365246,0.033690049,1.309287794,9.505217999,0.047562422,3.573787572,41.92825711,0.59,0.23,0.07,0.03,0,0,0.09
LL1,control,0.026,38.89776518,9.845354401,0.044104317,0.405909224,4.347265367,0.017193208,0.201459551,53.75905125,0.72,0.08,0.18,0.01,0,0,0
LL2,control,0.165333333,25.12588158,8.45965956,0.04321892,0.40317924,3.38291656,0.04706718,0.43159716,37.8935202,0.66,0.09,0.22,0.01,0,0,0.01
